,state,democrat,republican,totalVoter1976.2016,target,MapDate,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
1,AK,931882,1520232,2452114,Red,20170221,396229.68,186351.79,0,0,0,0,2/21/2017,2/27/2017,1
2,AK,931882,1520232,2452114,Red,20170124,530666.17,51915.31,0,0,0,0,1/24/2017,1/30/2017,1
3,AK,931882,1520232,2452114,Red,20170214,530666.17,51915.31,0,0,0,0,2/14/2017,2/20/2017,1
4,AK,931882,1520232,2452114,Red,20170207,530666.17,51915.31,0,0,0,0,7/2/2017,2/13/2017,1
5,AK,931882,1520232,2452114,Red,20170131,530666.17,51915.31,0,0,0,0,1/31/2017,6/2/2017,1
6,AK,931882,1520232,2452114,Red,20170404,401086.24,181495.23,0,0,0,0,4/4/2017,10/4/2017,1
7,AK,931882,1520232,2452114,Red,20170328,401086.53,181494.94,0,0,0,0,3/28/2017,3/4/2017,1
8,AK,931882,1520232,2452114,Red,20170321,401086.53,181494.94,0,0,0,0,3/21/2017,3/27/2017,1
9,AK,931882,1520232,2452114,Red,20170314,401086.53,181494.94,0,0,0,0,3/14/2017,3/20/2017,1
10,AK,931882,1520232,2452114,Red,20170307,401086.53,181494.94,0,0,0,0,7/3/2017,3/13/2017,1
11,AK,931882,1520232,2452114,Red,20170228,376874.36,205707.11,0,0,0,0,2/28/2017,6/3/2017,1
12,AK,931882,1520232,2452114,Red,20180918,557244.2,25337.27,13657.45,0,0,0,9/18/2018,9/24/2018,1
13,AK,931882,1520232,2452114,Red,20180911,557244.2,25337.27,13657.45,0,0,0,11/9/2018,9/17/2018,1
14,AK,931882,1520232,2452114,Red,20180904,557244.2,25337.27,13657.45,0,0,0,4/9/2018,10/9/2018,1
15,AK,931882,1520232,2452114,Red,20180828,557244.2,25337.27,13657.45,0,0,0,8/28/2018,3/9/2018,1
16,AK,931882,1520232,2452114,Red,20180821,557244.2,25337.27,13657.45,0,0,0,8/21/2018,8/27/2018,1
17,AK,931882,1520232,2452114,Red,20170117,519337.45,63244.03,0,0,0,0,1/17/2017,1/23/2017,1
18,AK,931882,1520232,2452114,Red,20170110,519337.45,63244.03,0,0,0,0,10/1/2017,1/16/2017,1
19,AK,931882,1520232,2452114,Red,20170103,519337.45,63244.03,0,0,0,0,3/1/2017,9/1/2017,1
20,AK,931882,1520232,2452114,Red,20161227,530666.17,51915.31,0,0,0,0,12/27/2016,2/1/2017,1
21,AK,931882,1520232,2452114,Red,20161220,530666.17,51915.31,0,0,0,0,12/20/2016,12/26/2016,1
22,AK,931882,1520232,2452114,Red,20161213,530666.17,51915.31,0,0,0,0,12/13/2016,12/19/2016,1
23,AK,931882,1520232,2452114,Red,20161206,530666.17,51915.31,0,0,0,0,6/12/2016,12/12/2016,1
24,AK,931882,1520232,2452114,Red,20161129,530666.17,51915.31,0,0,0,0,11/29/2016,5/12/2016,1
25,AK,931882,1520232,2452114,Red,20161122,530666.17,51915.31,0,0,0,0,11/22/2016,11/28/2016,1
26,AK,931882,1520232,2452114,Red,20161115,530666.17,51915.31,0,0,0,0,11/15/2016,11/21/2016,1
27,AK,931882,1520232,2452114,Red,20161108,530666.17,51915.31,0,0,0,0,8/11/2016,11/14/2016,1
28,AK,931882,1520232,2452114,Red,20161101,522963.9,59617.58,0,0,0,0,1/11/2016,7/11/2016,1
29,AK,931882,1520232,2452114,Red,20161025,522963.9,59617.58,0,0,0,0,10/25/2016,10/31/2016,1
30,AK,931882,1520232,2452114,Red,20161018,522963.9,59617.58,0,0,0,0,10/18/2016,10/24/2016,1
31,AK,931882,1520232,2452114,Red,20161011,582581.47,0,0,0,0,0,11/10/2016,10/17/2016,1
