county,state,None,D0,D1,D2,D3,D4,blueVoter,redVoter,target
Abbeville County,SC,57.2,42.8,23.9,15.8,7.5,0.1,4507,5923,1
Acadia Parish,LA,77,23,6.7,1.7,0,0,6559,19931,1
Accomack County,VA,86.4,13.6,0,0,0,0,7653,8212,1
Ada County,ID,45.5,54.5,7.5,0,0,0,77043,97471,1
Adair County,IA,77.1,22.9,3,0.3,0,0,1788,2110,1
Adair County,KY,90,10,5.4,3.8,1.7,0,1660,5841,1
Adair County,MO,45.9,54.1,24.6,6.3,3.3,0,4218,5648,1
Adair County,OK,49.5,50.5,29.8,14.1,0,0,2110,4362,1
Adams County,CO,42.9,57.1,18,0.5,0,0,90843,66531,0
Adams County,IA,76,24,1,0,0,0,1018,1103,1
Adams County,ID,54.7,45.3,20.1,0,0,0,577,1413,1
Adams County,IL,59,41,7.1,0.2,0,0,9627,20371,1
Adams County,IN,98.3,1.7,0,0,0,0,3800,8936,1
Adams County,MS,63.2,36.8,14.7,1.6,0.1,0,7999,5542,0
Adams County,ND,35.9,64.1,35.8,25.6,7.2,0.2,328,916,1
Adams County,NE,59.8,40.2,6,0.7,0,0,3991,8235,1
Adams County,OH,94.1,5.9,2.7,0.2,0,0,3857,6691,1
Adams County,PA,72.9,27.1,11.3,0,0,0,14893,26490,1
Adams County,WA,62.7,37.3,3.4,0,0,0,1516,3111,1
Adams County,WI,93.4,6.6,0,0,0,0,5537,4643,0
Addison County,VT,64.1,35.9,21.2,4.1,0,0,12290,5214,0
Aiken County,SC,60,40,7.6,0,0,0,23953,41157,1
Aitkin County,MN,96.5,3.5,0,0,0,0,4412,4533,1
Alachua County,FL,80,20,5.1,0.2,0,0,69634,48765,0
Alamance County,NC,63.3,36.7,12.5,0,0,0,28341,37712,1
Alameda County,CA,58.9,41.1,17.4,10.6,5.1,0,438091,104330,0
Alamosa County,CO,46.8,53.2,40.5,37,26.3,1.3,3782,2693,0
Albany County,NY,74.8,25.2,8.3,0,0,0,80891,42029,0
Albany County,WY,74.5,25.5,4.4,0,0,0,7445,7851,1
Albemarle County,VA,63,37,13.5,0,0,0,29712,23263,0
Alcona County,MI,93.3,6.7,2,0,0,0,2462,3571,1
Alcorn County,MS,60,40,18.7,3.2,1,0,3449,11027,1
Alexander County,IL,76.9,23.1,3.1,0.2,0,0,1961,1485,0
Alexander County,NC,74.8,25.2,12.7,0.2,0,0,4591,12207,1
Alfalfa County,OK,51.8,48.2,28.8,17.1,13.2,5.7,278,1539,1
Alger County,MI,99,1,0,0,0,0,2212,2329,1
Allamakee County,IA,94.6,5.4,2.5,0.7,0,0,3511,3230,0
Allegan County,MI,94.6,5.4,0,0,0,0,19594,29023,1
