county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Abbeville County,SC,57.2,42.8,23.9,15.8,7.5,0.1,90.1,4507,5923,3712,6742,1,1
Acadia Parish,LA,77,23,6.7,1.7,0,0,31.4,6559,19931,5638,21159,1,1
Accomack County,VA,86.4,13.6,0,0,0,0,13.6,7653,8212,6737,8582,1,1
Ada County,ID,45.5,54.5,7.5,0,0,0,62,77043,97471,75676,93748,1,1
Adair County,IA,77.1,22.9,3,0.3,0,0,26.2,1788,2110,1127,2456,1,1
Adair County,KY,90,10,5.4,3.8,1.7,0,20.9,1660,5841,1323,6637,1,1
Adair County,MO,45.9,54.1,24.6,6.3,3.3,0,88.3,4218,5648,3495,6019,1,1
Adair County,OK,49.5,50.5,29.8,14.1,0,0,94.4,2110,4362,1374,4753,1,1
Adams County,CO,42.9,57.1,18,0.5,0,0,75.6,90843,66531,86471,73807,0,0
Adams County,IA,76,24,1,0,0,0,25,1018,1103,565,1393,1,1
Adams County,ID,54.7,45.3,20.1,0,0,0,65.4,577,1413,415,1556,1,1
Adams County,IL,59,41,7.1,0.2,0,0,48.3,9627,20371,7633,22732,1,1
Adams County,IN,98.3,1.7,0,0,0,0,1.7,3800,8936,2802,9642,1,1
Adams County,MS,63.2,36.8,14.7,1.6,0.1,0,53.2,7999,5542,6921,5125,0,0
Adams County,ND,35.9,64.1,35.8,25.6,7.2,0.2,132.9,328,916,216,904,1,1
Adams County,NE,59.8,40.2,6,0.7,0,0,46.9,3991,8235,3272,9205,1,1
Adams County,OH,94.1,5.9,2.7,0.2,0,0,8.8,3857,6691,2293,8445,1,1
Adams County,PA,72.9,27.1,11.3,0,0,0,38.4,14893,26490,14077,31249,1,1
Adams County,WA,62.7,37.3,3.4,0,0,0,40.7,1516,3111,1118,2740,1,1
Adams County,WI,93.4,6.6,0,0,0,0,6.6,5537,4643,3780,5983,0,1
Addison County,VT,64.1,35.9,21.2,4.1,0,0,61.2,12290,5214,11217,5297,0,0
Aiken County,SC,60,40,7.6,0,0,0,47.6,23953,41157,25426,45981,1,1
Aitkin County,MN,96.5,3.5,0,0,0,0,3.5,4412,4533,3134,5516,1,1
Alachua County,FL,80,20,5.1,0.2,0,0,25.3,69634,48765,75370,46584,0,0
Alamance County,NC,63.3,36.7,12.5,0,0,0,49.2,28341,37712,29268,38235,1,1
Alameda County,CA,58.9,41.1,17.4,10.6,5.1,0,74.2,438091,104330,486351,91189,0,0
Alamosa County,CO,46.8,53.2,40.5,37,26.3,1.3,158.3,3782,2693,3168,3031,0,0
Albany County,NY,74.8,25.2,8.3,0,0,0,33.5,80891,42029,74775,44227,0,0
Albany County,WY,74.5,25.5,4.4,0,0,0,29.9,7445,7851,6888,7601,1,1
Albemarle County,VA,63,37,13.5,0,0,0,50.5,29712,23263,33297,19232,0,0
Alcona County,MI,93.3,6.7,2,0,0,0,8.7,2462,3571,1732,4201,1,1
Alcorn County,MS,60,40,18.7,3.2,1,0,62.9,3449,11027,2684,11817,1,1
Alexander County,IL,76.9,23.1,3.1,0.2,0,0,26.4,1961,1485,1262,1496,0,1
Alexander County,NC,74.8,25.2,12.7,0.2,0,0,38.1,4591,12207,3750,13826,1,1
Alfalfa County,OK,51.8,48.2,28.8,17.1,13.2,5.7,113,278,1539,216,1931,1,1
Alger County,MI,99,1,0,0,0,0,1,2212,2329,1663,2585,1,1
Allamakee County,IA,94.6,5.4,2.5,0.7,0,0,8.6,3511,3230,2409,4072,0,1
Allegan County,MI,94.6,5.4,0,0,0,0,5.4,19594,29023,17932,33812,1,1
Allegany County,MD,93.4,6.6,0.1,0,0,0,6.7,9001,18158,6665,20025,1,1
Allegany County,NY,84.3,15.7,9.3,6.1,0.1,0,31.2,5658,9609,4473,11712,1,1
Alleghany County,NC,77.2,22.8,11.5,0,0,0,34.3,1574,3378,1300,3789,1,1
Alleghany County,VA,80.6,19.4,0,0,0,0,19.4,3403,3595,2165,4873,1,1
Allegheny County,PA,99.3,0.7,0,0,0,0,0.7,348151,259304,363017,257488,0,0
Allen County,IN,97.8,2.2,0.8,0,0,0,3,59834,84378,55222,83801,1,1
Allen County,KS,65.9,34.1,17.6,1.9,0,0,53.6,1842,3261,1398,3575,1,1
Allen County,KY,84.9,15.1,5.1,3.4,1.4,0,25,1808,5184,1349,6466,1,1
Allen County,OH,88.5,11.5,0.4,0,0,0,11.9,16869,28802,12815,29858,1,1
Allen Parish,LA,71.8,28.2,12.9,1.5,0,0,42.6,2616,6495,2106,6867,1,1
Allendale County,SC,49.2,50.8,18.7,2.3,0,0,71.8,3335,894,2722,788,0,0
Alpena County,MI,86.7,13.3,3.9,0,0,0,17.2,6549,7298,4877,9090,1,1
Alpine County,CA,69.2,30.8,15.4,13,1.6,0,60.8,389,236,318,211,0,0
Amador County,CA,75.5,24.5,14.2,12.3,0,0,51,6001,8903,5904,10239,1,1
Amelia County,VA,63.5,36.5,13.8,0,0,0,50.3,2488,4324,2150,4704,1,1
Amherst County,VA,65.1,34.9,9.8,0,0,0,44.7,5898,8865,4986,9643,1,1
Amite County,MS,76.9,23.1,5,1.3,0,0,29.4,3218,4393,2688,4282,1,1
Anderson County,KS,61.7,38.3,20.2,4.3,0,0,62.8,937,2246,665,2386,1,1
Anderson County,KY,91.7,8.3,5.1,3.2,0,0,16.6,3315,6822,2634,8242,1,1
Anderson County,SC,62.6,37.4,22.6,16.7,8.1,0.9,85.7,22315,48493,21040,56109,1,1
Anderson County,TN,75.5,24.5,13.8,6.5,1.9,0.1,46.8,10112,18941,9010,19201,1,1
Anderson County,TX,63.4,36.6,17.8,3.4,0,0,57.8,3796,12235,3358,13165,1,1
Andrew County,MO,64.7,35.3,18,6.1,2.7,0,62.1,2649,5457,2045,6665,1,1
Andrews County,TX,70.4,29.6,15.1,5.1,0.4,0,50.2,794,3636,836,3925,1,1
Androscoggin County,ME,62.9,37.1,20.7,5.2,0.8,0,63.8,28912,22210,22975,28189,0,1
Angelina County,TX,75.1,24.9,9.5,1,0,0,35.4,7833,20301,7538,21666,1,1
Anne Arundel County,MD,67.3,32.7,12.7,0.6,0,0,46,115960,118165,116074,114509,1,0
Anoka County,MN,96.3,3.7,0,0,0,0,3.7,88611,93430,75499,93341,1,1
Anson County,NC,67.2,32.8,6.9,0,0,0,39.7,6894,4125,5785,4480,0,0
Antelope County,NE,88.2,11.8,4.5,0,0,0,16.3,571,2585,381,2717,1,1
Antrim County,MI,90.3,9.7,2.3,0.5,0,0,12.5,5107,7917,4448,8469,1,1
Apache County,AZ,19.8,80.3,61,38.6,25.8,11.8,217.5,16833,8198,12196,5315,0,0
Appanoose County,IA,34.7,65.3,33.3,11.4,2.1,0,112.1,2934,3153,1813,4031,1,1
Appling County,GA,55.1,44.9,20.7,5.5,0,0,71.1,1756,5231,1434,5492,1,1
Appomattox County,VA,66.5,33.5,10.3,0,0,0,43.8,2453,5340,2023,5714,1,1
Aransas County,TX,70.3,29.7,12.1,1.9,0.6,0,44.3,2703,6829,2458,7730,1,1
Arapahoe County,CO,38,62,27.1,0.2,0,0,89.3,135433,114232,148365,109638,0,0
Archer County,TX,71.5,28.5,14.9,5.1,0.6,0,49.1,525,3599,394,3785,1,1
Archuleta County,CO,43.4,56.6,43.5,39.1,32.2,14.9,186.3,2637,3831,2489,4234,1,1
Arenac County,MI,95.3,4.7,0.6,0,0,0,5.3,3669,4054,2238,4704,1,1
Arkansas County,AR,71.3,28.7,12.6,1.9,0.1,0,43.3,2454,3892,1939,3825,1,1
Arlington County,VA,59.1,40.9,28.1,3.2,0,0,72.2,81178,34433,91879,20155,0,0
Armstrong County,PA,96.7,3.3,0.6,0,0,0,3.9,8694,19231,6849,22676,1,1
Armstrong County,TX,51.6,48.4,38.4,25.7,19.9,7.1,139.5,98,828,70,924,1,1
Aroostook County,ME,79.6,20.4,2.6,0.2,0,0,23.2,17844,15229,13377,19419,0,1
Arthur County,NE,80.8,19.2,1.3,0,0,0,20.5,30,227,16,237,1,1
Ascension Parish,LA,78.7,21.3,4.4,1,0,0,26.7,16343,33846,16471,36135,1,1
Ashe County,NC,76,24,11.5,0,0,0,35.5,4100,8207,3476,9353,1,1
